"contacts","social","laws","citizenship","workpermit","employment","attitude","reputation","destination","candidate","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",1,1,87,"Male","40-49","Yes","Some college but no degree","0",8,1,NA,"Citizenship and rights","Canada","0","140.643"
"No contacts","Free healthcare","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,89,"Male","30-39","Yes","Bachelor's degree (4-year)","1",4,1,2,"Citizenship and rights","Canada","0","118.444"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",0,1,90,"Male","18 - 29","No","Some college but no degree","0",5,1,2,"Employment / career opportunities","UK","0","58.879"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,91,"Male","18 - 29","Yes","Some college but no degree","0",7,1,3,"Employment / career opportunities","Canada","0","125.702"
"Friends","Free housing","No religious bans","After 5 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,93,"Male","30-39","Yes","Less than high school degree","1",3,4,6,"Social benefits and healthcare","Canada","0","17.425"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,94,"Male","30-39","Yes","Some college but no degree","0",4,1,6,"Citizenship and rights","Canada","0","20.248"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",0,1,95,"Male","30-39","No","Diploma or technical certificate (2-year)","0",8,3,4,"Employment / career opportunities","Germany","0","21.773"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,98,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,3,5,"Citizenship and rights","Canada","0","97.464"
"Friends","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,1,100,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",4,1,5,"Citizenship and rights","Canada","0","54.57"
"Other Syrians","Free healthcare","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Has many well-known brands",1,1,102,"Female","30-39","Yes","Less than high school degree","0",4,1,2,"Education opportunities","UK","0","70.612"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,104,"Male","18 - 29","No","Some college but no degree","0",4,1,5,"Education opportunities","Canada","0","7.689"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,105,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",8,3,4,"Employment / career opportunities","Canada","0","21.471"
"No contacts","Free healthcare","No religious bans","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,108,"Male","18 - 29","No","Bachelor's degree (4-year)","0",7,1,5,"Citizenship and rights","Canada","0","25.265"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",1,1,109,"Male","50-59","Yes","Bachelor's degree (4-year)","0",4,1,3,"Education opportunities","UK","0","23.879"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,1,112,"Male","40-49","Yes","Less than high school degree","1",5,1,4,"Citizenship and rights","UK","0","39.632"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,114,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,3,"Language and culture","USA","0","155.104"
"No contacts","Free healthcare","No religious bans","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,115,"Male","Prefer not to answer","Yes","High school graduate (Baccalaureate / Tawjihi)","1",4,1,4,"Employment / career opportunities","Canada","0","82.887"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 8 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,116,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",6,1,4,"Friends / family / relatives in the country","Germany","0","10.95"
"Friends","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,1,121,"Male",NA,"No","Less than high school degree",NA,5,1,3,"Citizenship and rights","Canada","0","94.005"
"Friends","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",0,1,122,"Male","30-39","No","Bachelor's degree (4-year)","1",6,1,2,"Citizenship and rights","Canada","0","44.971"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,1,123,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,2,"Education opportunities","France","0","32.897"
"No contacts","Free healthcare","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,126,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",8,3,NA,"Citizenship and rights","Canada","0","89.365"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,129,"Male","18 - 29","Yes","Bachelor's degree (4-year)","0",4,1,2,"Citizenship and rights","USA","0","42.173"
"No contacts","Free housing","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,132,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,3,"Citizenship and rights","Canada","0","75.569"
"Friends","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,133,"Male","30-39","Yes","Some college but no degree","1",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","UK","0","56.101"
"Friends","Generous support for refugees","No religious bans","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Has many well-known brands",1,1,134,"Male","18 - 29","No","Some college but no degree","0",7,1,4,"Employment / career opportunities","UK","0","18.954"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,138,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Education opportunities","Canada","0","29.876"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",1,1,142,"Female","30-39","Yes","Bachelor's degree (4-year)","0",4,3,5,"Citizenship and rights","UK","0","75.735"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",1,1,144,"Male","18 - 29","No","Less than high school degree","0",5,4,5,"Employment / career opportunities","USA","0","25.188"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",1,1,145,"Male","18 - 29","No","Less than high school degree","1",8,2,5,"Citizenship and rights","USA","0","14.129"
"No contacts","Generous support for refugees","No religious bans","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Bad country for Syrians",0,1,148,"Female","18 - 29","No","Bachelor's degree (4-year)","0",5,6,NA,"Don't know / Prefer not to answer","Other / Prefer not to answer","0","56.158"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,149,"Male","18 - 29","No","Some college but no degree","1",2,1,6,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","61.582"
"Family","Free healthcare","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,154,"Male","18 - 29","No","Less than high school degree","0",2,1,3,"Citizenship and rights","Germany","0","18.607"
"Family","No minimum wage","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,1,155,"Male","18 - 29","No","Less than high school degree","1",2,1,3,"Employment / career opportunities","USA","0","27.987"
"Friends","Generous support for refugees","No religious bans","After 8 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,160,"Female","18 - 29","Yes","Some college but no degree","0",8,3,5,"Asylum policies (e.g. family reunification, resettlement)","UK","0","16.733"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Welcoming to foreigners",0,1,166,"Male","30-39","Yes","Master's degree or higher","1",6,1,2,"Asylum policies (e.g. family reunification, resettlement)","Other / Prefer not to answer","0","78.685"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",0,1,167,"Male","30-39","No","Bachelor's degree (4-year)","0",8,3,6,"Asylum policies (e.g. family reunification, resettlement)","USA","0","33.321"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",0,1,169,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,3,"Citizenship and rights","Canada","0","7.939"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Welcoming to foreigners",0,1,171,"Male","40-49","Yes","Less than high school degree","0",7,1,2,"Employment / career opportunities","USA","0","130.481"
"Other Syrians","Free housing","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",1,1,176,"Male","40-49","Yes","Less than high school degree","0",4,3,4,"Asylum policies (e.g. family reunification, resettlement)","USA","0","118.051"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Welcoming to foreigners",1,1,178,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,NA,"Friends / family / relatives in the country","Canada","0","21.429"
"Other Syrians","Free housing","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,180,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,6,"Language and culture","Canada","0","26.347"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 8 years","After 3 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Good country for Syrians",1,1,183,"Female","18 - 29","No","Diploma or technical certificate (2-year)","0",5,1,5,"Employment / career opportunities","Canada","0","78.544"
"Friends","No minimum wage","Ban on hijab in schools","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,184,"Male","40-49","Yes","Less than high school degree","0",6,4,4,"Asylum policies (e.g. family reunification, resettlement)","UK","0","53.961"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Good country for Syrians",0,1,185,"Male","30-39","Yes","Less than high school degree","0",2,1,2,"Asylum policies (e.g. family reunification, resettlement)","USA","0","18.107"
"Friends","Free healthcare","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Welcoming to foreigners",1,1,186,"Male","30-39","Yes","Less than high school degree","0",7,4,3,"Language and culture","USA","0","102.358"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,188,"Female","30-39","Yes","Diploma or technical certificate (2-year)","0",2,4,NA,"Social benefits and healthcare","UK","0","26.299"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,192,"Female","30-39","Yes","Diploma or technical certificate (2-year)","1",4,1,5,"Employment / career opportunities","Canada","0","31.955"
"Family","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Good country for Syrians",1,1,194,"Male","40-49","Yes","Bachelor's degree (4-year)","0",4,1,NA,"Education opportunities","Canada","0","21.941"
"Family","Free housing","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,199,"Male","30-39","Yes","Less than high school degree","1",2,1,NA,"Citizenship and rights","USA","0","9.162"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,201,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)",NA,7,1,6,"Education opportunities","Canada","0","70.486"
"Friends","Free housing","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Bad country for Syrians",0,1,204,"Female","40-49","Yes","Bachelor's degree (4-year)","1",8,4,5,"Citizenship and rights","Canada","0","23.547"
"Family","Free housing","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",1,1,206,"Female","18 - 29","Yes","Some college but no degree","0",7,1,5,"Employment / career opportunities","UK","0","121.151"
"Family","Free housing","No religious bans","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Bad country for Syrians",0,1,211,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,1,5,"Social benefits and healthcare","France","0","168.771"
"Friends","No minimum wage","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Good country for Syrians",0,1,212,"Male",NA,NA,"Some college but no degree",NA,NA,1,NA,"Good reputation","Canada","0","73.765"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Has many well-known brands",0,1,214,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,3,5,"Asylum policies (e.g. family reunification, resettlement)","UK","0","54.227"
"No contacts","Free healthcare","No religious bans","After 8 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Has many well-known brands",1,1,220,"Male",NA,NA,NA,NA,7,3,4,"Social benefits and healthcare","UK","0","72.849"
"Other Syrians","Free healthcare","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Bad country for Syrians",0,1,225,"Male","30-39","Yes","Less than high school degree","0",4,4,5,"Citizenship and rights","Other / Prefer not to answer","0","40.079"
