"contacts","social","laws","citizenship","workpermit","employment","attitude","country","destination","candidate","c.same","id","gender","age","children","educ","prewar","satisfaction","migmotivation","miglikely","prefchar","prefcountry","incentivised","t_choice"
"Family","Generous support for refugees","No religious bans","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",1,1,1,18,"Male","18 - 29","No","Master's degree or higher","0",2,1,2,"Education opportunities","UK","0","4.786"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",1,1,1,20,"Male","40-49","Yes","Bachelor's degree (4-year)","0",8,1,5,"Citizenship and rights","Canada","0","5.549"
"Friends","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,22,"Female","18 - 29","No","Bachelor's degree (4-year)","1",5,1,4,"Employment / career opportunities","Other / Prefer not to answer","0","8.43899999999999"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",0,1,0,24,"Male","40-49","Yes","Some college but no degree","0",8,3,4,"Social benefits and healthcare","Germany","0","8.086"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,1,0,25,"Female","18 - 29","No","Bachelor's degree (4-year)","1",8,3,6,"Citizenship and rights","Other / Prefer not to answer","0","7.554"
"No contacts","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",1,1,0,26,"Male","30-39","No","Some college but no degree","0",3,NA,6,"Language and culture","USA","0","82.398"
"Family","Free housing","Ban on immigration from Muslim countries","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,1,30,"Male",NA,NA,"Less than high school degree",NA,2,3,NA,"Citizenship and rights","Canada","0","11.596"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,0,31,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,3,NA,"Citizenship and rights","Canada","0","20.654"
"Friends","No minimum wage","No religious bans","After 5 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,0,34,"Male","30-39","Yes","Bachelor's degree (4-year)","0",7,1,2,"Education opportunities","Canada","0","4.553"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,36,"Female","30-39","Yes","Bachelor's degree (4-year)","0",5,4,4,"Employment / career opportunities","USA","0","80.157"
"Other Syrians","No minimum wage","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,37,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,2,"Education opportunities","UK","0","39.303"
"Friends","Free housing","No religious bans","After 3 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",1,1,1,38,"Male","18 - 29","Yes","Less than high school degree","0",4,1,2,"Citizenship and rights","USA","0","20.099"
"Family","Free healthcare","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,41,"Male","40-49","Yes","Master's degree or higher","0",2,1,3,"Citizenship and rights","Canada","0","188.781"
"Friends","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,42,"Prefer not to answer","Prefer not to answer","Prefer not to answer","Bachelor's degree (4-year)","0",5,6,NA,"Education opportunities","Canada","0","67.992"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",0,1,1,46,"Female","30-39","Yes","Bachelor's degree (4-year)","0",8,4,6,"Friends / family / relatives in the country","Canada","0","59.421"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,1,0,48,"Female","30-39","Yes","Bachelor's degree (4-year)","1",2,1,3,"Citizenship and rights","USA","0","14.947"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","France",0,1,0,49,"Male","30-39","Yes","Some college but no degree","0",NA,1,NA,"Don't know / Prefer not to answer","UK","0","10.025"
"Friends","Free healthcare","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,51,"Male","30-39","No","High school graduate (Baccalaureate / Tawjihi)","0",2,1,6,"Citizenship and rights","Other / Prefer not to answer","0","100.124"
"Family","Free housing","Ban on hijab in schools","After 5 years","After 12 months","3 in 4 Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",0,1,0,54,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",7,1,6,"Education opportunities","Canada","0","25.033"
"No contacts","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,1,0,55,"Female","30-39","No","Bachelor's degree (4-year)","0",5,4,3,"Citizenship and rights","Other / Prefer not to answer","0","50.41"
"Family","No minimum wage","Ban on nikab and burka in public","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",0,1,1,59,"Female","18 - 29","Yes","Master's degree or higher","1",3,4,6,"Education opportunities","Germany","0","4.872"
"No contacts","Free housing","Ban on hijab in schools","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,1,0,61,"Male","30-39","Prefer not to answer","Bachelor's degree (4-year)","1",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","53.56"
"Friends","No minimum wage","Ban on nikab and burka in public","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,0,62,"Male","18 - 29","Yes","Some college but no degree","0",4,1,6,"Education opportunities","UK","0","9.955"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",0,1,0,63,"Female","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",7,1,4,"Education opportunities","Canada","0","26.447"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,66,"Female","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","102.258"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 3 years","Immediately","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","Canada",1,1,1,67,"Male",NA,NA,"High school graduate (Baccalaureate / Tawjihi)",NA,2,1,6,"Citizenship and rights","Canada","0","658.075"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,69,"Male","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",4,1,4,"Citizenship and rights","Canada","0","134.414"
"No contacts","Free housing","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,1,71,"Male","18 - 29","No","Bachelor's degree (4-year)","0",5,1,2,"Education opportunities","UK","0","94.539"
"Other Syrians","No minimum wage","Ban on hijab in schools","After 3 years","Immediately","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,74,"Male","18 - 29","Yes","Some college but no degree","0",2,1,3,"Citizenship and rights","Canada","0","12.689"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,75,"Male","40-49","Yes","Less than high school degree","0",2,1,NA,"Social benefits and healthcare","Canada","0","12.385"
"Friends","Generous support for refugees","Ban on hijab in schools","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,77,"Male","40-49","Yes","Less than high school degree","1",3,1,4,"Citizenship and rights","UK","0","87.644"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,1,78,"Male","18 - 29","Yes","Some college but no degree","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","Canada","0","58.211"
"Family","No minimum wage","Ban on hijab in schools","After 5 years","Immediately","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",0,1,0,79,"Male","30-39","Yes","Bachelor's degree (4-year)","1",4,1,6,"Employment / career opportunities","Germany","0","219.915"
"Other Syrians","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Canada",0,1,0,82,"Male","18 - 29","No","Some college but no degree","0",8,1,4,"Education opportunities","UK","0","9.404"
"No contacts","Free healthcare","Ban on hijab in schools","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,84,"Male","18 - 29","No","Some college but no degree","0",7,3,5,"Social benefits and healthcare","Germany","0","56.911"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,0,85,"Male",NA,NA,"Some college but no degree",NA,4,3,3,"Employment / career opportunities","Germany","0","47.246"
"Friends","Generous support for refugees","No religious bans","After 5 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,0,88,"Male",NA,NA,"High school graduate (Baccalaureate / Tawjihi)",NA,5,1,5,"Social benefits and healthcare","Canada","0","97.911"
"Family","Free housing","Ban on immigration from Muslim countries","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",0,1,1,92,"Male","30-39","Yes","Bachelor's degree (4-year)","0",8,1,2,"Asylum policies (e.g. family reunification, resettlement)","UK","0","26.091"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United States of America (USA)",1,1,0,96,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",6,1,NA,"Citizenship and rights","USA","0","242.329"
"No contacts","Free healthcare","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,0,97,"Male","18 - 29","No","Some college but no degree","1",8,3,5,"Citizenship and rights","USA","0","93.838"
"Friends","Free housing","Ban on nikab and burka in public","After 5 years","After 12 months","1 in 4 Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,99,"Male","30-39","No","Diploma or technical certificate (2-year)","0",7,4,6,"Citizenship and rights","Canada","0","67.128"
"Friends","Free healthcare","Ban on nikab and burka in public","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,101,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",5,6,6,"Good reputation","Other / Prefer not to answer","0","31.037"
"Other Syrians","Free housing","No religious bans","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,103,"Male","30-39","Yes","Less than high school degree","0",8,3,5,"Employment / career opportunities","UK","0","15.803"
"Other Syrians","No minimum wage","Ban on immigration from Muslim countries","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,106,"Male",NA,NA,"Diploma or technical certificate (2-year)",NA,6,6,6,"Citizenship and rights","Canada","0","106.086"
"Friends","Generous support for refugees","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,107,"Female","30-39","No","Bachelor's degree (4-year)","0",8,3,5,"Citizenship and rights","Canada","0","65.081"
"Family","Generous support for refugees","No religious bans","After 8 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",1,1,0,110,"Male","18 - 29","No","Some college but no degree","0",7,1,5,"Citizenship and rights","Canada","0","19.975"
"No contacts","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",1,1,0,111,"Male",NA,"Yes","Less than high school degree",NA,2,1,6,"Good reputation","Canada","0","143.03"
"Friends","Free housing","No religious bans","After 3 years","After 3 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,113,"Male","30-39","Yes","Some college but no degree","0",6,1,4,"Citizenship and rights","Canada","0","51.479"
"Friends","Free housing","No religious bans","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,117,"Female","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Education opportunities","Canada","0","7.114"
"Family","Generous support for refugees","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Germany",0,1,0,118,"Male","30-39","Yes","Bachelor's degree (4-year)","1",7,1,2,"Employment / career opportunities","Canada","0","7.549"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 5 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,119,"Male","18 - 29","Yes","Less than high school degree","0",7,1,6,"Employment / career opportunities","Canada","0","7.023"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,120,"Male","18 - 29","No","Some college but no degree","0",5,1,6,"Citizenship and rights","Canada","0","6.162"
"Other Syrians","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","France",0,1,0,124,"Male","18 - 29","No","Diploma or technical certificate (2-year)","1",3,1,NA,"Citizenship and rights","USA","0","25.444"
"Friends","Generous support for refugees","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,125,"Male","30-39","No","Bachelor's degree (4-year)","0",7,1,6,"Citizenship and rights","Canada","0","42.928"
"No contacts","Generous support for refugees","No religious bans","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","Germany",1,1,0,127,"Male","18 - 29","No","Less than high school degree","0",2,1,2,"Friends / family / relatives in the country","Germany","0","46.357"
"Other Syrians","Free housing","Ban on immigration from Muslim countries","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","France",1,1,0,128,"Male","30-39","Yes","Some college but no degree","0",4,3,6,"Employment / career opportunities","Canada","0","11.188"
"Friends","Generous support for refugees","No religious bans","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,130,"Male","18 - 29","Yes","High school graduate (Baccalaureate / Tawjihi)","0",7,1,5,"Friends / family / relatives in the country","UK","0","19.275"
"Friends","Free housing","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United States of America (USA)",1,1,0,131,"Male","40-49","Yes","Diploma or technical certificate (2-year)","0",5,1,6,"Citizenship and rights","Canada","0","161.315"
"No contacts","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,135,"Male","50-59","Yes","Bachelor's degree (4-year)","0",4,1,3,"Education opportunities","UK","0","19.143"
"Friends","No minimum wage","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Germany",1,1,1,136,"Male","18 - 29","No","Less than high school degree","0",2,1,2,"Language and culture","Canada","0","58.635"
"Family","Free healthcare","Ban on nikab and burka in public","After 3 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,137,"Male","18 - 29","Yes","Master's degree or higher","0",8,4,6,"Citizenship and rights","Canada","0","30.774"
"No contacts","Generous support for refugees","Ban on immigration from Muslim countries","After 3 years","After 12 months","Half of all Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",0,1,0,139,"Male","30-39","Yes","Less than high school degree","0",7,2,6,"Employment / career opportunities","Germany","0","22.228"
"Friends","Free healthcare","Ban on immigration from Muslim countries","After 5 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,140,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",4,1,4,"Employment / career opportunities","Canada","0","50.51"
"No contacts","Generous support for refugees","Ban on hijab in schools","After 3 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,0,141,"Male","18 - 29","No","Master's degree or higher","0",4,1,2,"Education opportunities","Canada","0","415.961"
"Family","Free healthcare","Ban on immigration from Muslim countries","After 3 years","After 3 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",0,1,0,143,"Male","18 - 29","Yes","Less than high school degree","0",8,1,NA,"Employment / career opportunities","UK","0","15.403"
"Other Syrians","Free healthcare","No religious bans","After 5 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,146,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",6,1,2,"Employment / career opportunities","Canada","0","358.048"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,0,147,"Male","18 - 29","No","Some college but no degree","0",8,1,3,"Education opportunities","UK","0","117.124"
"Other Syrians","No minimum wage","Ban on nikab and burka in public","After 3 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","Germany",1,1,0,150,NA,NA,NA,"Less than high school degree",NA,5,1,3,"Employment / career opportunities","Germany","0","100.436"
"No contacts","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 12 months","Half of all Syrians unemployed after one year","3 in 4 people support taking in refugees","Canada",0,1,0,151,"Male","30-39","Yes","Diploma or technical certificate (2-year)","0",4,1,6,"Citizenship and rights","USA","0","70.942"
"Family","No minimum wage","Ban on immigration from Muslim countries","After 8 years","After 3 months","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,1,152,"Male","18 - 29","Yes","Less than high school degree","0",2,1,6,"Citizenship and rights","Canada","0","39.386"
"Family","Free housing","Ban on hijab in schools","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United Kingdom (UK)",1,1,0,153,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",8,1,NA,"Citizenship and rights","Canada","0","27.27"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","Immediately","Half of all Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","United States of America (USA)",0,1,0,156,"Male","18 - 29","No","Some college but no degree","0",8,1,NA,"Education opportunities","Canada","0","207.181"
"Family","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","United Kingdom (UK)",1,1,0,157,"Male","18 - 29","No","Diploma or technical certificate (2-year)","0",4,1,4,"Employment / career opportunities","USA","0","42.127"
"Friends","Generous support for refugees","Ban on immigration from Muslim countries","After 5 years","After 12 months","Half of all Syrians unemployed after one year","1 in 4 people oppose taking in refugees","France",0,1,0,158,"Male","30-39","Yes","Less than high school degree","0",7,1,3,"Education opportunities","USA","0","44.777"
"Friends","Free housing","No religious bans","After 3 years","After 12 months","Half of all Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",1,1,0,159,"Male","18 - 29","Yes","Less than high school degree","0",7,1,3,"Citizenship and rights","Canada","0","32.949"
"Friends","Free housing","Ban on hijab in schools","After 5 years","After 3 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Canada",1,1,0,161,"Male","18 - 29","No","Bachelor's degree (4-year)","1",5,1,4,"Citizenship and rights","Canada","0","56.492"
"Friends","No minimum wage","Ban on nikab and burka in public","After 5 years","Immediately","Half of all Syrians employed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,162,"Female","30-39","Yes","High school graduate (Baccalaureate / Tawjihi)","0",5,1,4,"Citizenship and rights","Canada","0","33.978"
"Friends","Generous support for refugees","No religious bans","After 8 years","Immediately","Half of all Syrians employed after one year","1 in 4 people support restricting immigration of Muslims","Germany",0,1,0,163,"Female","18 - 29","Yes","Some college but no degree","0",2,1,3,"Asylum policies (e.g. family reunification, resettlement)","UK","0","71.616"
"No contacts","Free healthcare","Ban on nikab and burka in public","After 8 years","Immediately","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","Germany",0,1,0,164,"Female","18 - 29","No","Bachelor's degree (4-year)","0",6,6,6,"Education opportunities","UK","0","25.334"
"Other Syrians","Generous support for refugees","Ban on nikab and burka in public","After 8 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,165,"Male","18 - 29","No","Bachelor's degree (4-year)","0",2,1,5,"Employment / career opportunities","Canada","0","29.711"
"Friends","Generous support for refugees","No religious bans","After 3 years","After 12 months","1 in 4 Syrians employed after one year","3 in 4 people support taking in refugees","United Kingdom (UK)",1,1,0,168,"Male","18 - 29","No","Bachelor's degree (4-year)","0",8,1,2,"Citizenship and rights","Canada","0","132.763"
"Family","No minimum wage","Ban on nikab and burka in public","After 5 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",0,1,0,170,"Male","18 - 29","No","Less than high school degree","0",2,1,2,"Social benefits and healthcare","Canada","0","9.125"
"Other Syrians","Generous support for refugees","Ban on hijab in schools","After 3 years","Immediately","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,172,"Male","30-39","No","Bachelor's degree (4-year)","0",7,1,3,"Employment / career opportunities","UK","0","32.466"
"No contacts","Generous support for refugees","Ban on nikab and burka in public","After 5 years","After 3 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","France",0,1,0,173,"Male","18 - 29","Yes","Diploma or technical certificate (2-year)","0",2,1,3,"Employment / career opportunities","USA","0","8.983"
"Family","Generous support for refugees","No religious bans","After 5 years","After 12 months","1 in 4 Syrians employed after one year","Half the population supports restricting immigration of Muslims","Canada",0,1,0,174,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",5,4,5,"Education opportunities","UK","0","6.429"
"Family","Free housing","Ban on nikab and burka in public","After 5 years","After 12 months","Half of all Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United States of America (USA)",1,1,0,175,"Male","40-49","Yes","High school graduate (Baccalaureate / Tawjihi)","1",2,1,2,"Education opportunities","Canada","0","1"
"Friends","Generous support for refugees","Ban on hijab in schools","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","Half the population supports restricting immigration of Muslims","United Kingdom (UK)",0,1,0,177,"Male","40-49","Yes","Less than high school degree","0",6,1,2,"Citizenship and rights","USA","0","85.786"
"Family","Free healthcare","Ban on nikab and burka in public","After 8 years","After 3 months","3 in 4 Syrians unemployed after one year","1 in 4 people oppose taking in refugees","Germany",0,1,0,179,"Male","30-39","Yes","Less than high school degree","0",2,1,6,"Citizenship and rights","USA","0","19.967"
"Other Syrians","Generous support for refugees","Ban on immigration from Muslim countries","After 8 years","After 12 months","3 in 4 Syrians unemployed after one year","1 in 4 people support restricting immigration of Muslims","France",1,1,0,181,"Male","18 - 29","No","High school graduate (Baccalaureate / Tawjihi)","0",8,1,NA,"Citizenship and rights","USA","0","108.696"
